obj_index,sn_matched_idx,error,source,z,theta,dtheta,S,alpha,type,sn_matched_m_b_corr,sn_matched_MU_SH0ES_ERR_DIAG,sn_matched_m_b_corr_err_DIAG,sn_matched_zHDERR,sn_matched_original_index,sn_matched_zHD,sn_matched_CID,sn_matched_MU_SH0ES
66,1691,3.7205438981113836e-05,P 1831-711,1.356,1.46,0.058,1.364,-0.2,Q,25.5564,0.238282,0.236747,0.00203,1691,1.35608,Mcguire,44.8094
60,1684,5.2767640604689525e-05,P 2326-477,1.299,2.07,0.047,2.48,0.0,Q,25.6111,0.275291,0.273963,0.00535,1684,1.29911,Aphrodite,44.8641
32,1677,6.737213177687718e-05,P 0130-17,1.02,1.544,0.197,1.0,0.0,Q,25.0227,0.225903,0.224284,0.00176,1677,1.01988,Eagle,44.2757
14,1634,0.00010052106453151133,P1354+19,0.72,1.415,0.074,1.8,-0.1,Q,23.9082,0.243162,0.241658,0.00175,1634,0.72015,05D4ev,43.1612
7,1592,0.00012009385839784059,GC 1104+16,0.632,1.762,0.15,1.1,-0.1,Q,23.0581,0.32695,0.325833,0.00169,1592,0.63183,05D2ci,42.3111
3,1539,0.0001329018447516206,P 1136-13,0.558,1.974,0.048,3.4,-0.3,Q,23.1859,0.195189,0.193312,0.00164,1539,0.55782,05D1ee,42.4389
0,1468,0.0002813584917072398,P 2351-006,0.462,2.743,0.027,2.49,-0.1,Q,22.7309,0.138441,0.135783,0.00158,1468,0.46164,05D3lc,41.9839
70,1693,0.00030162459791105434,GC 0820+56,1.417,0.424,0.114,0.958,-0.3,Q,25.2049,0.735776,0.735281,0.00208,1693,1.41633,SCP06K0,44.4579
2,1527,0.00031357311155916223,P 0252-549,0.539,1.049,0.077,1.94,0.1,Q,23.0808,0.244476,0.24298,0.00516,1527,0.53942,1289656,42.3338
1,1526,0.0003590619652917293,3C 279,0.5362,1.454,0.052,11.8,0.1,Q,22.9604,0.209507,0.20776,0.00162,1526,0.53572,05D2eb,42.2134
8,1610,0.0004970670655357612,P 0113-118,0.67,2.218,0.108,2.7,-0.1,Q,23.8147,0.274795,0.273465,0.0101,1610,0.67072,05D3mh,43.0677
11,1611,0.0005018626347296218,P 2344+09,0.677,1.904,0.075,1.9,-0.2,Q,23.9721,0.311797,0.310626,0.00172,1611,0.67773,03D1co,43.2251
5,1570,0.000514091787746862,P 0920-39,0.591,1.933,0.097,2.1,-0.2,Q,23.2626,0.248253,0.246781,0.00166,1570,0.59029,03D4gg,42.5156
6,1571,0.0007305936956130132,3C 345,0.5928,1.525,0.041,7.6,0.0,Q,23.1978,0.255828,0.254399,0.01009,1571,0.59179,04D2mh,42.4508
16,1653,0.0008287337199690548,P 1237-10,0.752,1.518,0.058,1.63,-0.2,Q,23.6482,0.318716,0.317571,0.01011,1653,0.75074,04D3ks,42.9012
65,1689,0.0009429353214371883,P 1615+29,1.339,1.608,0.117,0.62,-0.2,Q,25.5011,0.306395,0.305203,0.00537,1689,1.34101,Borg,44.7541
61,1685,0.0010051829155139913,P 0448-392,1.302,1.387,0.064,0.89,0.0,Q,25.4676,0.316517,0.315363,0.00199,1685,1.3041,Thoth,44.7206
4,1550,0.0010380050701411792,P 0403-13,0.574,2.399,0.077,4.0,0.1,Q,22.9382,0.452867,0.452062,0.00141,1550,0.57542,1306785,42.1912
15,1647,0.0012971662001548534,GC 1636+47,0.74,1.139,0.076,1.06,-0.1,Q,24.2283,0.32514,0.324017,0.00176,1647,0.74196,04D2ja,43.4813
12,1612,0.001303418724528771,1803+78,0.68,1.244,0.129,2.6,-0.1,Q,23.5846,0.239367,0.23784,0.0101,1612,0.6819,05D2bt,42.8376
20,1673,0.0013473872874630866,GC 1213+35,0.857,1.73,0.183,1.2,-0.3,Q,24.3638,0.299913,0.298695,0.00163,1673,0.85482,Manipogo,43.6168
64,1688,0.001464148086791961,P 1327-311,1.326,0.438,0.863,0.5,0.1,Q,25.6215,0.238344,0.23681,0.02009,1688,1.3291,washington,44.8745
33,1679,0.0016164520977526298,OJ 320,1.025,1.552,0.122,1.2,0.0,Q,25.2834,0.353385,0.352352,0.00176,1679,1.02789,Strolger,44.5364
31,1678,0.001617399386586893,P 0906+01,1.018,1.794,0.081,0.76,-0.2,Q,24.7176,0.47547,0.474703,0.00528,1678,1.02088,Ferguson,43.9706
30,1676,0.0020166153592674485,P 0355-483,1.016,1.517,0.033,0.62,-0.1,Q,24.8647,0.367085,0.36609,0.00175,1676,1.01242,SCP05D0,44.1177
28,1675,0.002171176611260317,GC 0237+04,0.978,0.568,0.426,0.8,0.1,Q,24.8581,0.201519,0.199702,0.00172,1675,0.97423,Ombo,44.1111
62,1687,0.0027707885515352304,P 1449-012,1.319,1.682,0.064,0.803,-0.1,Q,25.5337,0.316349,0.315195,0.00199,1687,1.31317,SCP05D6,44.7867
86,1696,0.0029901037659287866,P 1351+021,1.6077,1.788,0.034,0.347,-0.3,Q,25.9065,0.333024,0.331927,0.00545,1696,1.61505,rutledge,45.1595
97,1698,0.0032551269681735384,P 1451-400,1.81,1.136,0.047,0.734,-0.2,Q,26.2335,0.281981,0.280685,0.02014,1698,1.80119,stone,45.4865
13,1630,0.003843060190592329,0651+82,0.71,1.454,0.245,1.3,0.0,Q,23.7414,0.245932,0.244445,0.00175,1630,0.71571,05D3gv,42.9944
18,1671,0.0038554345085738406,3C 179,0.846,1.953,0.144,1.7,-0.3,Q,24.107,0.211845,0.210118,0.00523,1671,0.83981,Elvis,43.36
50,1683,0.003979467725125363,P 1823-455,1.244,1.38,0.064,0.588,-0.3,Q,25.652,0.273735,0.2724,0.00193,1683,1.23597,Lancaster,44.905
81,1695,0.004017973513558815,4C 46.29,1.5586,2.446,0.216,0.7,0.1,Q,26.04,0.233771,0.232206,0.00213,1695,1.54901,Primo,45.293
67,1692,0.004084037313515143,P 0522-611,1.4,1.168,0.096,0.722,-0.1,Q,25.5414,0.374345,0.37337,0.00538,1692,1.39103,Sasquatch,44.7944
103,1699,0.004103321921685055,OH-230,1.9,1.396,0.194,0.7,-0.2,PQ,26.1703,0.358642,0.357624,0.00263,1699,1.91165,wilson,45.4233
19,1672,0.0044769570439677775,P 0915-213,0.847,1.758,0.094,0.6,-0.1,Q,23.9482,0.390423,0.389488,0.00161,1672,0.83981,Spock,43.2012
9,1609,0.004700878653749907,P 2329-415,0.6715,1.292,0.208,1.1,-0.1,Q,23.6168,0.233989,0.232426,0.00171,1609,0.6647,05D3hs,42.8698
59,1686,0.004844529632436645,P 0511-220,1.296,1.2,0.187,1.3,0.1,PQ,25.7667,0.445162,0.444343,0.00199,1686,1.30611,Inanna,45.0197
49,1682,0.006117712216012983,OV 591,1.22,2.032,0.147,1.4,-0.1,Q,25.0677,0.610496,0.609899,0.00193,1682,1.23225,SCP06H5,44.3207
25,1674,0.0065528937086123396,P 0537-158,0.947,1.747,0.087,0.64,-0.1,Q,24.2801,0.239939,0.238415,0.00525,1674,0.93585,Vilas,43.5331
82,1694,0.006964354880549806,P 2227-08,1.5595,1.038,0.109,1.3,-0.1,Q,25.8372,0.371014,0.370031,0.04006,1694,1.5429,carter,45.0902
10,1613,0.007365444361823403,GC 2251+13,0.673,1.972,0.11,1.1,-0.3,Q,23.9186,0.407734,0.406839,0.00172,1613,0.68372,06D3cc,43.1716
34,1680,0.007858963359988924,P 1348-289,1.034,1.797,0.163,1.0,-0.3,PQ,25.1699,0.488758,0.488011,0.00178,1680,1.04817,SCP06U4,44.4229
91,1697,0.008888446221251511,P 0922+005,1.72,1.005,0.108,0.94,0.0,Q,26.0333,0.38048,0.379521,0.04006,1697,1.69706,geta,45.2863
40,1681,0.009530488116872293,P 2303-052,1.139,1.638,0.086,0.567,-0.3,Q,25.1875,0.22363,0.221994,0.0053,1681,1.12092,Gabi,44.4405
17,1670,0.01294698603799338,P 2135-248,0.819,0.897,0.304,0.7,-0.2,Q,24.1808,0.288144,0.286876,0.01011,1670,0.79863,03D1fq,43.4338
63,1690,0.013324890877911666,P 2312-319,1.323,0.528,0.135,0.746,-0.3,Q,25.2962,0.31846,0.317314,0.00202,1690,1.35136,SCP06G4,44.5492
115,1700,0.019278014695247148,P 1032-199,2.198,1.434,0.036,1.082,0.1,Q,26.9298,0.281309,0.280011,0.02018,1700,2.26137,colfax,46.1828
